,_id,Name,Address,Geocodes
32,4132,The Citrus County Education Foundation Inc,"1205 NE 8th Ave, Crystal River, FL 34428, USA","{'lat': 28.906242, 'lng': -82.5802875}"
33,4133,The Education Channel,"2775 Shalimar Terrace, North Port, FL 34286, USA","{'lat': 27.056668, 'lng': -82.18964199999999}"
34,4134,The Citrus County Education Foundation Inc,"600 W Highland Blvd, Inverness, FL 34452, USA","{'lat': 28.8336167, 'lng': -82.3404417}"
35,4135,Pasco Education Foundation Inc,"10055 Sweet Bay Ct, New Port Richey, FL 34654, USA","{'lat': 28.270796, 'lng': -82.64868179999999}"
36,4136,Douglas Stoneman High School,"5901 Pine Island Rd, Parkland, FL 33076, USA","{'lat': 26.304503, 'lng': -80.26945700000002}"
37,4137,Florida School Health Association,"16200 N Dale Mabry Hwy, Tampa, FL 33618, USA","{'lat': 28.1011837, 'lng': -82.50519229999999}"
38,4138,Florida School Health Association,"9855 Harney Rd, Thonotosassa, FL 33592, USA","{'lat': 28.04676, 'lng': -82.3246889}"
39,4139,Hernando County School Board,"9412 Fox Chapel Ln, Spring Hill, FL 34606, USA","{'lat': 28.5110929, 'lng': -82.56494889999999}"
40,4140,Driftwood Middle School,"6501 Turtle Run Blvd, Coral Springs, FL 33067, USA","{'lat': 26.285421, 'lng': -80.21435389999999}"
41,4141,Flanagan High School,"12800 Taft St, Pembroke Pines, FL 33028, USA","{'lat': 26.0181246, 'lng': -80.32233339999999}"
42,4142,Hernando County School Board,"3300 Mariner Blvd, Spring Hill, FL 34609, USA","{'lat': 28.481339, 'lng': -82.541861}"
43,4143,Naples Alliance for Children incorporated,"8125 Lely Cultural Pkwy, Naples, FL 34113, USA","{'lat': 26.1046315, 'lng': -81.6913163}"
44,4144,Pensacolainformation.com Realty LLC,"12551 Meadson Rd, Pensacola, FL 32506, USA","{'lat': 30.345619, 'lng': -87.4076583}"
45,4145,Florida Association of School Administrators,"2507 E Baldwin Rd, Panama City, FL 32405, USA","{'lat': 30.2028965, 'lng': -85.6286319}"
46,4146,Naples Alliance for Children incorporated,"1101 Lake Trafford Rd, Immokalee, FL 34142, USA","{'lat': 26.4315012, 'lng': -81.4289285}"
47,4147,Florida School Health Association,"3035 Nelson Ave, Dover, FL 33527, USA","{'lat': 27.9872034, 'lng': -82.209389}"
48,4148,Schoolwires Inc,"1850 NW 32nd St, Miami, FL 33142, USA","{'lat': 25.8052133, 'lng': -80.22659809999999}"
49,4149,Consortium of Florida Education Foundations,"1900 SW 5th St, Ocala, FL 34471, USA","{'lat': 29.181399, 'lng': -82.15750799999999}"
50,4150,Hernando County School Board,"14325 Ken Austin Pkwy, Brooksville, FL 34614, USA","{'lat': 28.5627536, 'lng': -82.4999668}"
51,4151,Pensacolainformation.com Realty LLC,"220 N Navy Blvd, Pensacola, FL 32507, USA","{'lat': 30.390474, 'lng': -87.27697599999999}"
52,4152,Hernando County School Board,"6001 Mariner Blvd, Spring Hill, FL 34609, USA","{'lat': 28.5148118, 'lng': -82.5185097}"
53,4153,Gainesville Today Magazine,"16213 NW US Hwy 441, Alachua, FL 32615, USA","{'lat': 29.8072641, 'lng': -82.52440229999999}"
54,4154,Naples Alliance for Children incorporated,"1515 Pine Ridge Rd, Naples, FL 34109, USA","{'lat': 26.2144634, 'lng': -81.7874996}"
55,4155,Naples Alliance for Children incorporated,"1 Lely High School Blvd, Naples, FL 34113, USA","{'lat': 26.0876791, 'lng': -81.7178411}"
56,4156,Naples Alliance for Children incorporated,"1165 County Rd 858, Naples, FL 34120, USA","{'lat': 26.2927859, 'lng': -81.58647669999999}"
57,4157,Title I Distinguished School,"2410 N Crystal Lake Dr, Lakeland, FL 33801, USA","{'lat': 28.0297534, 'lng': -81.91187289999999}"
58,4158,Florida School Health Association,"7700 Gunn Hwy, Tampa, FL 33625, USA","{'lat': 28.076928, 'lng': -82.572994}"
59,4159,Florida School Health Association,"4500 Northdale Blvd, Greater Northdale, FL 33624, USA","{'lat': 28.0994135, 'lng': -82.5225418}"
60,4160,Schoolwires Inc,"6601 SW 152nd Ave, Miami, FL 33193, USA","{'lat': 25.7041169, 'lng': -80.4414748}"
61,4161,Florida School Health Association,"4040 19th Ave NE, Sun City Center, FL 33573, USA","{'lat': 27.7400155, 'lng': -82.3676318}"
62,4162,Consortium of Florida Education Foundations,"14550 NE 14th Street Rd, Silver Springs, FL 34488, USA","{'lat': 29.200271, 'lng': -81.910662}"
63,4163,Funeral Review.com,"2323 Dr M.L.K. Jr St N, St. Petersburg, FL 33704, USA","{'lat': 27.7934629, 'lng': -82.64652960000001}"
64,4164,Clark Advanced Learning Center,"2400 SE Salerno Rd, Stuart, FL 34997, USA","{'lat': 27.1351188, 'lng': -80.2200187}"
65,4165,Florida School Health Association,"2006 W Oak Ave, Plant City, FL 33563, USA","{'lat': 28.0166093, 'lng': -82.1439079}"
66,4166,Schoolwires Inc,"444 SW 60th Ave, Miami, FL 33144, USA","{'lat': 25.7665613, 'lng': -80.29410519999999}"
67,4167,Florida School Health Association,"101 E College Ave, Ruskin, FL 33570, USA","{'lat': 27.7123771, 'lng': -82.432929}"
68,4168,"National Association of Purchasing Management, Inc.","3500 Agualinda Blvd, Cape Coral, FL 33914, USA","{'lat': 26.5871358, 'lng': -82.0165435}"
69,4169,Florida School Health Association,"2011 E Sligh Ave, Tampa, FL 33610, USA","{'lat': 28.0093233, 'lng': -82.4373377}"
70,4170,Keystone Heights Elementary,"421 Jefferson Ave, Orange Park, FL 32065, USA","{'lat': 30.133615, 'lng': -81.7880519}"
71,4171,Schoolwires Inc,"29035 SW 144th Ave, Homestead, FL 33033, USA","{'lat': 25.4963006, 'lng': -80.42365459999999}"
72,4172,Schoolwires Inc,"15851 SW 112th St, Miami, FL 33196, USA","{'lat': 25.6648674, 'lng': -80.4524692}"
73,4173,Florida School Health Association,"2600 W Humphrey St, Tampa, FL 33614, USA","{'lat': 28.0297921, 'lng': -82.4862838}"
74,4174,Title I Distinguished School,"2600 Crutchfield Rd, Lakeland, FL 33805, USA","{'lat': 28.0566398, 'lng': -81.9956309}"
75,4175,Schoolwires Inc,"14250 NW 67th Ave, Hialeah, FL 33014, USA","{'lat': 25.9029425, 'lng': -80.3097828}"
76,4176,Brandon Senior High School,"1101 Victoria St, Brandon, FL 33510, USA","{'lat': 27.9438365, 'lng': -82.2992281}"
77,4177,Schoolwires Inc,"1536 NE 179th St, North Miami Beach, FL 33162, USA","{'lat': 25.9395128, 'lng': -80.1697198}"
78,4178,Florida School Health Association,"1807 E Dr Martin Luther King Jr Blvd, Tampa, FL 33610, USA","{'lat': 27.9794271, 'lng': -82.4390521}"
79,4179,Schoolwires Inc,"1781 NW 95th St, Miami, FL 33147, USA","{'lat': 25.8634081, 'lng': -80.22830139999999}"
80,4180,Schoolwires Inc,"14950 SW 288th St, Homestead, FL 33033, USA","{'lat': 25.4987452, 'lng': -80.4336952}"
81,4181,"National Association of Purchasing Management, Inc.","16351 Summerlin Rd, Fort Myers, FL 33908, USA","{'lat': 26.497848, 'lng': -81.914684}"
82,4182,Schoolwires Inc,"514 NW 77th St, Miami, FL 33150, USA","{'lat': 25.8446865, 'lng': -80.2055946}"
83,4183,Florida Association of School Administrators,"1311 Balboa Ave, Panama City, FL 32401, USA","{'lat': 30.1725969, 'lng': -85.6759932}"
84,4184,Schoolwires Inc,"7330 W 32nd Ave, Hialeah, FL 33018, USA","{'lat': 25.8883911, 'lng': -80.3487248}"
85,4185,PTA,"5601 N Federal Hwy, Fort Lauderdale, FL 33308, USA","{'lat': 26.1971949, 'lng': -80.1133708}"
86,4186,Schoolwires Inc,"9250 SW 52nd Terrace, Miami, FL 33165, USA","{'lat': 25.718833, 'lng': -80.3442434}"
87,4187,Florida Association of District School Superintendents,"Cross City, FL 32628, USA","{'lat': 29.6337184, 'lng': -83.12325779999999}"
88,4188,Sumter County School District,"2680 W Co Rd 476, Bushnell, FL 33513, USA","{'lat': 28.6588833, 'lng': -82.14756469999999}"
89,4189,Monroe County School District,"241 Trumbo Rd, Key West, FL 33040, USA","{'lat': 24.564155, 'lng': -81.7980838}"
90,4190,Old Kings Elementary School,"301 Old Kings Rd S, Ormond Beach, FL 32174, USA","{'lat': 29.473162, 'lng': -81.17534599999999}"
91,4191,Old Kings Elementary School,"Bunnell, FL, USA","{'lat': 29.4660863, 'lng': -81.25784159999999}"
92,4192,Davenport School of the Arts,"726 Hollingsworth Rd, Lakeland, FL 33801, USA","{'lat': 28.034616, 'lng': -81.9382505}"
93,4193,Lake Howell High School,"4200 Dike Rd, Winter Park, FL 32792, USA","{'lat': 28.637786, 'lng': -81.2734772}"
94,4194,Gilchrist County School Board,"310 NW 11th Ave, Trenton, FL 32693, USA","{'lat': 29.6187901, 'lng': -82.8212068}"
95,4195,Gilchrist County School Board,"310 NW 11th Ave, Trenton, FL 32693, USA","{'lat': 29.6187901, 'lng': -82.8212068}"
96,4196,Episcopal High School,"4455 Atlantic Blvd, Jacksonville, FL 32207, USA","{'lat': 30.3107932, 'lng': -81.6216609}"
97,4197,Episcopal High School,"4455 Atlantic Blvd, Jacksonville, FL 32207, USA","{'lat': 30.3107932, 'lng': -81.6216609}"
98,4198,Coral Reef Senior High School,"10101 SW 152nd St, Miami, FL 33157, USA","{'lat': 25.6300482, 'lng': -80.3563818}"
99,4199,Hoggetowne Middle School,"3930 NE 15th St, Gainesville, FL 32609, USA","{'lat': 29.68893599999999, 'lng': -82.3069469}"
100,4200,Student Leadership Academy,"1960 Landings Blvd, Sarasota, FL 34231, USA","{'lat': 27.2794385, 'lng': -82.5317737}"
101,4201,"St. Mary's Episcopal Day School, Inc.","2101 S Hubert Ave, Tampa, FL 33629, USA","{'lat': 27.9263203, 'lng': -82.5168502}"
102,4202,WILKINSON ELEMENTARY SCHOOL,"3400 Wilkinson Rd, Sarasota, FL 34231, USA","{'lat': 27.2901537, 'lng': -82.49997809999999}"
103,4203,St. Francis Catholic High School,"4100 NW 115 Terrace, Gainesville, FL 32606, USA","{'lat': 29.6924525, 'lng': -82.4666447}"
104,4204,Ridge Community High School,"500 Orchid Dr, Davenport, FL 33837, USA","{'lat': 28.1507635, 'lng': -81.62885299999999}"
105,4205,Community Christian School,"4859 Kerry Forest Pkwy, Tallahassee, FL 32309, USA","{'lat': 30.538256, 'lng': -84.21573459999999}"
106,4206,Cordova Park Elementary School,"2250 Semur Rd, Pensacola, FL 32503, USA","{'lat': 30.4624061, 'lng': -87.1935372}"
107,4207,Title I Distinguished School,"2410 N Crystal Lake Dr, Lakeland, FL 33801, USA","{'lat': 28.0297534, 'lng': -81.91187289999999}"
108,4208,Academy at the Farm,"9500 Alex Lange Way, Dade City, FL 33525, USA","{'lat': 28.2953561, 'lng': -82.2513271}"
109,4209,Auburndale High School,"501 McCloud Rd, Frostproof, FL 33843, USA","{'lat': 27.7652891, 'lng': -81.5362655}"
110,4210,All Saints' Academy,"State Rd 540 W, Wahneta, FL 33880, USA","{'lat': 27.9966959, 'lng': -81.7557722}"
111,4211,Bishop Kenny High School,"1055 Kingman Ave, Jacksonville, FL 32207, USA","{'lat': 30.3101579, 'lng': -81.6410686}"
112,4212,Bishop Kenny High School,"11625 Old St Augustine Rd, Jacksonville, FL 32258, USA","{'lat': 30.1612423, 'lng': -81.59866699999999}"
113,4213,Belen Jesuit Preparatory School,"500 SW 127th Ave, Miami, FL 33184, USA","{'lat': 25.7648007, 'lng': -80.4017001}"
114,4214,Belen Jesuit Preparatory School,"500 SW 127th Ave, Miami, FL 33184, USA","{'lat': 25.7631294, 'lng': -80.4018936}"
115,4215,Donna Klein Jewish Academy,"9701 Donna Klein Blvd, Boca Raton, FL 33428, USA","{'lat': 26.3584001, 'lng': -80.1955725}"
116,4216,Bradenton Preparatory Academy,"7900 40th Ave W, Bradenton, FL 34209, USA","{'lat': 27.4666662, 'lng': -82.6414653}"
117,4217,Cardinal Newman High School,"512 Spencer Dr, West Palm Beach, FL 33409, USA","{'lat': 26.710336, 'lng': -80.09172}"
118,4218,Lake Worth Christian School,"7592 High Ridge Rd, Boynton Beach, FL 33426, USA","{'lat': 26.5634721, 'lng': -80.0738784}"
119,4219,Windermere Preparatory School,"6189 Winter Garden Vineland Rd, Windermere, FL 34786, USA","{'lat': 28.4763024, 'lng': -81.56855449999999}"
120,4220,Good Shepherd Catholic School,"14187 SW 72nd St, Miami, FL 33183, USA","{'lat': 25.7008397, 'lng': -80.42161159999999}"
121,4221,Maclay School,"3737 N Meridian Rd, Tallahassee, FL 32312, USA","{'lat': 30.5254537, 'lng': -84.2741372}"
122,4222,Montessori Live Inc,"2001 Pinebrook Rd, Nokomis, FL 34275, USA","{'lat': 27.1243932, 'lng': -82.4175971}"
123,4223,Hillsborough County,"Tampa, FL 33601, USA","{'lat': 27.9401015, 'lng': -82.4501944}"
124,4224,ST MARTHAS SCHOOL,"1651 2nd St, Sarasota, FL 34236, USA","{'lat': 27.3381918, 'lng': -82.53748159999999}"
125,4225,JSA,"18801 NE 22nd Ave, North Miami Beach, FL 33181, USA","{'lat': 25.9021354, 'lng': -80.15686509999999}"
126,4226,Title I Distinguished School,"1795 E Wabash St, Bartow, FL 33830, USA","{'lat': 27.8924414, 'lng': -81.8225429}"
127,4227,Panhandle Area Educational Consortium,"210 NE Duval Ave, Madison, FL 32340, USA","{'lat': 30.4711572, 'lng': -83.4093666}"
128,4228,"National Association of Purchasing Management, Inc.","2055 Central Ave, Fort Myers, FL 33901, USA","{'lat': 26.6392293, 'lng': -81.86413859999999}"
129,4229,Whitney Information Network Inc,"1612 Cape Coral Pkwy E STE A, Cape Coral, FL 33904, USA","{'lat': 26.5622225, 'lng': -81.94265539999999}"
130,4230,Panhandle Area Educational Consortium,"753 West Blvd, Chipley, FL 32428, USA","{'lat': 30.7755315, 'lng': -85.5509969}"
