,_id,Name,Address,Geocodes
0,7400,St. Thomas More Catholic School,"630 W Ponce de Leon Ave, Decatur, GA 30030, USA","{'lat': 33.7737629, 'lng': -84.3056667}"
1,7401,St. Thomas More Catholic School,"630 W Ponce de Leon Ave, Decatur, GA 30030, USA","{'lat': 33.7737629, 'lng': -84.3056667}"
2,7402,St. Pius X Catholic High School,"2674 Johnson Rd NE, Atlanta, GA 30345, USA","{'lat': 33.8645679, 'lng': -84.2915716}"
3,7403,Prince Avenue Christian School,"2201 Ruth Jackson Rd, Bogart, GA 30622, USA","{'lat': 33.9118138, 'lng': -83.55301539999999}"
4,7404,Orgill Inc,"700 W 8th St, Tifton, GA 31794, USA","{'lat': 31.461895, 'lng': -83.5214299}"
5,7405,Muscogee County School District,"5801 Armour Rd, Columbus, GA 31909, USA","{'lat': 32.5271818, 'lng': -84.95476769999999}"
6,7406,Muscogee County School District,"2011 51st St, Columbus, GA 31904, USA","{'lat': 32.5142708, 'lng': -84.963751}"
7,7407,Muscogee County School District,"Columbus, GA 31902, USA","{'lat': 32.46862, 'lng': -84.99141}"
8,7408,Muscogee County School District,"2520 Broadmoor Dr, Columbus, GA 31903, USA","{'lat': 32.4098519, 'lng': -84.9669213}"
9,7409,Muscogee County School District,"3100, 3100 Reese Rd, Columbus, GA 31907, USA","{'lat': 32.5012581, 'lng': -84.9101273}"
10,7410,Houston County High School,"1100 Main St, Perry, GA 31069, USA","{'lat': 32.45834860000001, 'lng': -83.7287546}"
11,7411,Intown Community Church,"2059 Lavista Rd NE, Atlanta, GA 30329, USA","{'lat': 33.8150055, 'lng': -84.31767649999999}"
12,7412,Muscogee County School District,"7601 Schomburg Rd, Columbus, GA 31909, USA","{'lat': 32.557632, 'lng': -84.90904900000001}"
13,7413,Mill Creek High School,"3200 Pleasant Hill Rd, Duluth, GA 30096, USA","{'lat': 33.98749910000001, 'lng': -84.15851699999999}"
14,7414,Mill Creek High School,"1160 Level Creek Rd, Sugar Hill, GA 30518, USA","{'lat': 34.1058226, 'lng': -84.0364027}"
15,7415,Mill Creek High School,"437 Old Peachtree Rd NW, Suwanee, GA 30024, USA","{'lat': 34.0143978, 'lng': -84.0555025}"
16,7416,"National Society of Genetic Counselors, Inc.","5405 Spalding Dr, Norcross, GA 30092, USA","{'lat': 33.9684053, 'lng': -84.21324349999999}"
17,7417,Georgia Council of Teachers of English,"1000, 1000 Chastain Rd NW, Kennesaw, GA 30144, USA","{'lat': 34.0317143, 'lng': -84.5839132}"
18,7418,Mill Creek High School,"585 Mitchell Rd NW, Norcross, GA 30071, USA","{'lat': 33.9384698, 'lng': -84.2048226}"
19,7419,Rome Symphony Orchestra Inc,"1014 Cave Spring Rd SW, Rome, GA 30161, USA","{'lat': 34.2261211, 'lng': -85.18372860000001}"
20,7420,Georgia Association of School Business Officials,"1120 Dahlonega Hwy, Cumming, GA 30040, USA","{'lat': 34.2324789, 'lng': -84.1235214}"
21,7421,Henry County Schools,"33 N Zack Hinton Pkwy, McDonough, GA 30253, USA","{'lat': 33.4490151, 'lng': -84.133561}"
22,7422,Houston County Schools,"Warner Robins, GA 31099, USA","{'lat': 32.5940123, 'lng': -83.6400144}"
23,7423,Alpine Program,"1342 GA-254, Cleveland, GA 30528, USA","{'lat': 34.5674263, 'lng': -83.6609414}"
24,7424,Tift County Public Scho...,"389 Tift Ave, Tifton, GA 31794, USA","{'lat': 31.4556593, 'lng': -83.5069997}"
25,7425,North Jackson Elementar...,"1660 Winder Hwy, Jefferson, GA 30549, USA","{'lat': 34.1059188, 'lng': -83.59611240000001}"
26,7426,Houston County Schools,"460 Arena Rd, Perry, GA 31069, USA","{'lat': 32.4553573, 'lng': -83.6531712}"
27,7427,Forsyth County Schools,"1120 Dahlonega Hwy, Cumming, GA 30040, USA","{'lat': 34.2324789, 'lng': -84.1235214}"
28,7428,Spalding County,"Griffin, GA, USA","{'lat': 33.2467807, 'lng': -84.2640904}"
29,7429,Lowndes County School D...,"Valdosta, GA 31603, USA","{'lat': 30.68814, 'lng': -83.31575}"
30,7430,Marietta City School Di...,"Marietta, GA 30061, USA","{'lat': 33.9491123, 'lng': -84.5507433}"
31,7431,Floyd County School Dis...,"2903 Garden Lakes NW Blvd, Rome, GA 30165, USA","{'lat': 34.2841726, 'lng': -85.2391736}"
32,7432,Clayton County Public S...,"5354 Phillips Dr, Morrow, GA 30260, USA","{'lat': 33.6081437, 'lng': -84.3549443}"
33,7433,Atlanta Public School S...,"179 Trinity Ave SW, Atlanta, GA 30303, USA","{'lat': 33.7498389, 'lng': -84.39361029999999}"
34,7434,Liberty County,"100 Deen St, Hinesville, GA 31313, USA","{'lat': 31.8376891, 'lng': -81.6012365}"
35,7435,Douglas County School S...,"9030 GA-5, Douglasville, GA 30134, USA","{'lat': 33.7379285, 'lng': -84.7698353}"
36,7436,Gwinnett County Public ...,"4300 S Berkeley Lake Rd NW, Berkeley Lake, GA 30096, USA","{'lat': 33.9776031, 'lng': -84.1867757}"
37,7437,Hall County,"1 6th St, Gainesville, GA 30504, USA","{'lat': 34.2524128, 'lng': -83.8410024}"
38,7438,Cherokee County,"Canton, GA 30169, USA","{'lat': 34.14, 'lng': -84.3}"
39,7439,RENFROE MIDDLE SCHOOL,"758 Scott Blvd, Decatur, GA 30030, USA","{'lat': 33.7833315, 'lng': -84.30649439999999}"
40,7440,Greenbrier High School,"4550 Cox Rd, Evans, GA 30809, USA","{'lat': 33.5246034, 'lng': -82.14739469999999}"
41,7441,Henry County Schools,"33 N Zack Hinton Pkwy, McDonough, GA 30253, USA","{'lat': 33.4490151, 'lng': -84.133561}"
42,7442,Gwinnett County Public ...,"1000 Old Snellville Hwy, Lawrenceville, GA 30044, USA","{'lat': 33.907135, 'lng': -84.00889289999999}"
43,7443,Gwinnett County Public ...,"50 Taylor Rd, Suwanee, GA 30024, USA","{'lat': 34.0157305, 'lng': -84.02004699999999}"
44,7444,Walker County School Di...,"87 S Burnt Mill Rd, LaFayette, GA 30728, USA","{'lat': 34.700967, 'lng': -85.30685}"
45,7445,Macon County School Sys...,"GA-49, Oglethorpe, GA, USA","{'lat': 32.2937904, 'lng': -84.0610311}"
46,7446,Muscogee County School ...,"Columbus, GA 31902, USA","{'lat': 32.46862, 'lng': -84.99141}"
47,7447,Coweta County School Sy...,"200 Pete Rd, Sharpsburg, GA 30277, USA","{'lat': 33.4648547, 'lng': -84.648035}"
48,7448,Greenbrier High School,"375 W Forrest St, Harlem, GA 30814, USA","{'lat': 33.4192406, 'lng': -82.31839629999999}"
49,7449,Hall County,"4841 Union Church Rd, Flowery Branch, GA 30542, USA","{'lat': 34.1643869, 'lng': -83.85724259999999}"
50,7450,Gwinnett County Public ...,"1950 Old Peachtree Rd NW, Duluth, GA 30097, USA","{'lat': 34.01368, 'lng': -84.10343120000002}"
51,7451,Phoenix High School,"254 Wolfe St, Cohutta, GA 30710, USA","{'lat': 34.9611486, 'lng': -84.9488322}"
52,7452,Dekalb County School Sy...,"5035 Vermack Rd, Dunwoody, GA 30338, USA","{'lat': 33.9455218, 'lng': -84.3152504}"
53,7453,Girl Scouts Headquarter...,"201 Cabin Creek Dr, Griffin, GA 30223, USA","{'lat': 33.2579033, 'lng': -84.26166669999999}"
54,7454,Buford City Schools Sys...,"2500 Sawnee Ave, Buford, GA 30518, USA","{'lat': 34.1346876, 'lng': -83.9957532}"
55,7455,Gainesville City School...,"508 Oak St, Gainesville, GA 30501, USA","{'lat': 34.3011577, 'lng': -83.8329668}"
56,7456,Greenbrier High School,"628 Gibbs Rd, Evans, GA 30809, USA","{'lat': 33.543201, 'lng': -82.15448599999999}"
57,7457,Savannah-Chatham County...,"768 Grant St, Savannah, GA 31401, USA","{'lat': 32.06562, 'lng': -81.08552569999999}"
58,7458,Hall County,"3305 Poplar Springs Rd, Gainesville, GA 30507, USA","{'lat': 34.2225145, 'lng': -83.8592611}"
59,7459,Cherokee County,"Canton, GA 30169, USA","{'lat': 34.14, 'lng': -84.3}"
60,7460,Gwinnett County Public ...,"3200 Pleasant Hill Rd, Duluth, GA 30096, USA","{'lat': 33.98749910000001, 'lng': -84.15851699999999}"
61,7461,Gwinnett County Public ...,"1075 Rocky Rd, Lawrenceville, GA 30044, USA","{'lat': 33.9025571, 'lng': -84.0147185}"
62,7462,Gwinnett County Public ...,"123 Broad St, Dacula, GA 30019, USA","{'lat': 33.9917809, 'lng': -83.8996399}"
63,7463,Georgia Institute of Te...,"741 Brittain Dr NW, Atlanta, GA 30313, USA","{'lat': 33.7748431, 'lng': -84.3929285}"
64,7464,Cobb County School Dist...,"Marietta, GA 30061, USA","{'lat': 33.9491123, 'lng': -84.5507433}"
65,7465,Cobb County School Dist...,"4165 Luther Ward Rd, Powder Springs, GA 30127, USA","{'lat': 33.9264072, 'lng': -84.6674219}"
66,7466,Bartow County School Di...,"Euharlee, GA 30120, USA","{'lat': 34.1577811, 'lng': -84.87763919999999}"
67,7467,Cobb County School Dist...,"Marietta, GA 30061, USA","{'lat': 33.9491123, 'lng': -84.5507433}"
68,7468,Muscogee County School ...,"Columbus, GA 31902, USA","{'lat': 32.46862, 'lng': -84.99141}"
69,7469,Greenbrier High School,"325 N Belair Rd, Evans, GA 30809, USA","{'lat': 33.52285, 'lng': -82.1386799}"
70,7470,Gwinnett County Public ...,"2500 Fence Rd NE, Dacula, GA 30019, USA","{'lat': 33.9997766, 'lng': -83.90344759999999}"
71,7471,Camden County,"900 W King St, Kingsland, GA 31548, USA","{'lat': 30.8010569, 'lng': -81.7147626}"
72,7472,Clayton County Public S...,"1587 McDonough Rd, Hampton, GA 30228, USA","{'lat': 33.445961, 'lng': -84.3390864}"
73,7473,Georgia Department of E...,"1116 E 24th Ave, Cordele, GA 31015, USA","{'lat': 31.9529398, 'lng': -83.7631313}"
74,7474,Atlanta Public School S...,"211 Trinity Ave SW, Atlanta, GA 30303, USA","{'lat': 33.750532, 'lng': -84.39465}"
75,7475,Clarke County School Di...,"900 Gaines School Rd, Athens, GA 30605, USA","{'lat': 33.9297527, 'lng': -83.3371068}"
76,7476,Fayette County,"200 McIntosh Trail, Peachtree City, GA 30269, USA","{'lat': 33.3862911, 'lng': -84.5696315}"
77,7477,Eagles Landing First Ba...,"2400 GA-42, McDonough, GA 30253, USA","{'lat': 33.5057371, 'lng': -84.1824158}"
78,7478,Fulton County School Sy...,"5230 Taylor Rd, Johns Creek, GA 30022, USA","{'lat': 34.0497331, 'lng': -84.2087758}"
79,7479,Fulton County School Di...,"5230 Taylor Rd, Johns Creek, GA 30022, USA","{'lat': 34.0497331, 'lng': -84.2087758}"
80,7480,Cobb County School Dist...,"514 Glover St SE, Marietta, GA 30060, USA","{'lat': 33.9384827, 'lng': -84.53806209999999}"
81,7481,Maggie Brown Pre-K Scho...,"Newnan, GA 30264, USA","{'lat': 33.3763255, 'lng': -84.71352139999999}"
82,7482,Georgia College & State...,"231 W Hancock St, Milledgeville, GA 31061, USA","{'lat': 33.0828388, 'lng': -83.23167149999999}"
83,7483,Gwinnett County Public ...,"6482 Suwanee Dam Rd, Buford, GA 30518, USA","{'lat': 34.1479538, 'lng': -84.0653261}"
84,7484,Muscogee County School ...,"Columbus, GA 31902, USA","{'lat': 32.46862, 'lng': -84.99141}"
85,7485,Houston County Schools,"1100 Main St, Perry, GA 31069, USA","{'lat': 32.45834860000001, 'lng': -83.7287546}"
86,7486,Jenkins County,"433 Barney Ave, Millen, GA 30442, USA","{'lat': 32.8088275, 'lng': -81.94019610000001}"
